t,theta,omega
0,0.352455,1.76573
0.0166667,0.381884,1.71222
0.0333333,0.410421,1.7155
0.05,0.439013,1.71181
0.0666667,0.467543,1.78498
0.0833333,0.497292,1.82642
0.1,0.527733,1.74685
0.116667,0.556847,1.80382
0.133333,0.586911,1.87319
0.15,0.61813,1.59878
0.166667,0.644777,1.87193
0.183333,0.675976,1.86726
0.2,0.707097,1.80037
0.216667,0.737103,1.83063
0.233333,0.767613,1.8112
0.25,0.7978,1.85382
0.266667,0.828697,1.81206
0.283333,0.858898,1.9533
0.3,0.891453,1.76288
0.316667,0.920834,2.00599
0.333333,0.954267,1.79211
0.35,0.984136,1.85207
0.366667,1.015,1.89618
0.383333,1.04661,1.87334
0.4,1.07783,1.93911
0.416667,1.11015,1.83176
0.433333,1.14068,1.99113
0.45,1.17386,1.87113
0.466667,1.20505,1.92855
0.483333,1.23719,1.81699
0.5,1.26747,1.86341
0.516667,1.29853,1.9577
0.533333,1.33116,1.82623
0.55,1.3616,1.93814
0.566667,1.3939,1.93711
0.583333,1.42618,1.81864
0.6,1.45649,1.88731
0.616667,1.48795,1.90567
0.633333,1.51971,1.90373
0.65,1.55144,1.91721
0.666667,1.58339,1.89997
0.683333,1.61506,1.75544
0.7,1.64432,1.90401
0.716667,1.67605,1.91447
0.733333,1.70796,1.84533
0.75,1.73871,1.91038
0.766667,1.77055,1.81372
0.783333,1.80078,1.83404
0.8,1.83135,1.81921
0.816667,1.86167,1.81935
0.833333,1.89199,1.85933
0.85,1.92298,1.76207
0.866667,1.95235,1.77093
0.883333,1.98186,1.82215
0.9,2.01223,1.76591
0.916667,2.04166,1.89918
0.933333,2.07332,1.7582
0.95,2.10262,1.69629
0.966667,2.13089,1.82703
0.983333,2.16134,1.76355
1,2.19074,1.78375
1.01667,2.22046,1.59765
1.03333,2.24709,1.77331
1.05,2.27665,1.70895
1.06667,2.30513,1.61367
1.08333,2.33202,1.76862
1.1,2.3615,1.54557
1.11667,2.38726,1.61293
1.13333,2.41414,1.63712
1.15,2.44143,1.70422
1.16667,2.46983,1.54371
1.18333,2.49556,1.63947
1.2,2.52289,1.59724
1.21667,2.54951,1.61878
1.23333,2.57649,1.46176
1.25,2.60085,1.56612
1.26667,2.62695,1.52711
1.28333,2.6524,1.47731
1.3,2.67702,1.5278
1.31667,2.70249,1.52802
1.33333,2.72795,1.44574
1.35,2.75205,1.46256
1.36667,2.77643,1.44403
1.38333,2.80049,1.44567
1.4,2.82459,1.44221
1.41667,2.84862,1.26893
1.43333,2.86977,1.42016
1.45,2.89344,1.36602
1.46667,2.91621,1.40572
1.48333,2.93964,1.29799
1.5,2.96127,1.30374
1.51667,2.983,1.30371
1.53333,3.00473,1.34351
1.55,3.02712,1.19866
1.56667,3.0471,1.27835
1.58333,3.0684,1.36869
1.6,3.09122,1.16783
1.61667,3.11068,1.27231
1.63333,3.13189,1.09031
1.65,3.15006,1.17847
1.66667,3.1697,1.26225
1.68333,3.19074,1.09222
1.7,3.20894,1.16522
1.71667,3.22836,1.08087
1.73333,3.24637,1.09817
1.75,3.26468,1.09353
1.76667,3.2829,1.11344
1.78333,3.30146,1.10053
1.8,3.3198,1.07651
1.81667,3.33774,1.08043
1.83333,3.35575,0.961209
1.85,3.37177,1.13195
1.86667,3.39064,0.967291
1.88333,3.40676,0.972362
1.9,3.42296,1.02247
1.91667,3.44001,1.05229
1.93333,3.45754,0.971482
1.95,3.47373,0.810108
1.96667,3.48724,1.07888
1.98333,3.50522,0.78629
2,3.51832,1.10529
2.01667,3.53674,0.865469
2.03333,3.55117,0.880324
2.05,3.56584,0.949872
2.06667,3.58167,0.898541
2.08333,3.59665,0.792563
2.1,3.60986,0.853497
2.11667,3.62408,0.962204
2.13333,3.64012,0.840856
2.15,3.65413,0.905711
2.16667,3.66923,0.728944
2.18333,3.68138,0.840308
2.2,3.69538,0.902375
2.21667,3.71042,0.817823
2.23333,3.72405,0.882951
2.25,3.73877,0.826512
2.26667,3.75254,0.778444
2.28333,3.76552,0.754628
2.3,3.77809,0.767376
2.31667,3.79088,0.917931
2.33333,3.80618,0.766724
2.35,3.81896,0.756171
2.36667,3.83156,0.768367
2.38333,3.84437,0.91336
2.4,3.85959,0.767635
2.41667,3.87239,0.827936
2.43333,3.88619,0.771183
2.45,3.89904,0.777293
2.46667,3.91199,0.771835
2.48333,3.92486,0.771877
2.5,3.93772,0.771664
2.51667,3.95058,0.994565
2.53333,3.96716,0.769099
2.55,3.97998,0.764088
2.56667,3.99271,0.771434
2.58333,4.00557,0.883467
2.6,4.02029,0.858312
2.61667,4.0346,0.766819
2.63333,4.04738,0.826707
2.65,4.06116,0.861356
2.66667,4.07551,0.913781
2.68333,4.09074,0.75954
2.7,4.1034,0.865176
2.71667,4.11782,0.993523
2.73333,4.13438,0.802222
2.75,4.14775,0.809614
2.76667,4.16125,0.939847
2.78333,4.17691,0.904672
2.8,4.19199,0.950811
2.81667,4.20783,0.822145
2.83333,4.22154,0.83304
2.85,4.23542,0.932464
2.86667,4.25096,1.10063
2.88333,4.26931,0.88738
2.9,4.2841,0.912289
2.91667,4.2993,1.05907
2.93333,4.31695,1.03864
2.95,4.33426,1.00461
2.96667,4.35101,0.86624
2.98333,4.36544,1.11423
3,4.38401,1.03405
3.01667,4.40125,1.01383
3.03333,4.41814,0.983026
3.05,4.43453,1.14568
3.06667,4.45362,1.1079
3.08333,4.47209,1.13958
3.1,4.49108,0.956513
3.11667,4.50702,1.29198
3.13333,4.52856,1.14539
3.15,4.54765,1.04326
3.16667,4.56503,1.25513
3.18333,4.58595,1.09585
3.2,4.60422,1.19726
3.21667,4.62417,1.24332
3.23333,4.64489,1.29393
3.25,4.66646,1.19867
3.26667,4.68644,1.22535
3.28333,4.70686,1.18762
3.3,4.72665,1.41145
3.31667,4.75018,1.23554
3.33333,4.77077,1.36242
3.35,4.79348,1.24457
3.36667,4.81422,1.35074
3.38333,4.83673,1.36651
3.4,4.85951,1.39454
3.41667,4.88275,1.41876
3.43333,4.9064,1.36966
3.45,4.92922,1.4202
3.46667,4.95289,1.3609
3.48333,4.97557,1.47079
3.5,5.00009,1.57474
3.51667,5.02633,1.44642
3.53333,5.05044,1.44058
3.55,5.07445,1.4655
3.56667,5.09887,1.67861
3.58333,5.12685,1.43392
3.6,5.15075,1.57508
3.61667,5.177,1.5644
3.63333,5.20308,1.65054
3.65,5.23058,1.58881
3.66667,5.25706,1.58257
3.68333,5.28344,1.56255
3.7,5.30948,1.65434
3.71667,5.33706,1.6629
3.73333,5.36477,1.66133
3.75,5.39246,1.65159
3.76667,5.41999,1.71115
3.78333,5.4485,1.70535
3.8,5.47693,1.70262
3.81667,5.5053,1.78507
3.83333,5.53506,1.63583
3.85,5.56232,1.78201
3.86667,5.59202,1.77514
3.88333,5.62161,1.66532
3.9,5.64936,1.90909
3.91667,5.68118,1.80349
3.93333,5.71124,1.76226
3.95,5.74061,1.7677
3.96667,5.77007,1.84775
3.98333,5.80087,1.78556
4,5.83062,1.8801
4.01667,5.86196,1.77181
4.03333,5.89149,1.92863
4.05,5.92363,1.77644
4.06667,5.95324,1.84524
4.08333,5.984,1.83513
4.1,6.01458,1.79842
4.11667,6.04455,1.96641
4.13333,6.07733,1.81986
4.15,6.10766,1.964
4.16667,6.14039,1.90982
4.18333,6.17222,1.76944
4.2,6.20171,1.94663
4.21667,6.23416,1.91763
4.23333,6.26612,1.911
4.25,6.29797,1.90065
4.26667,6.32965,1.97355
4.28333,6.36254,1.84252
4.3,6.39325,1.85722
4.31667,6.4242,1.91797
4.33333,6.45617,1.95367
4.35,6.48873,1.793
4.36667,6.51861,1.93553
4.38333,6.55087,1.89794
4.4,6.5825,1.98579
4.41667,6.6156,1.8674
4.43333,6.64672,1.76348
4.45,6.67611,1.93936
4.46667,6.70844,1.91493
4.48333,6.74035,1.8441
4.5,6.77109,1.91893
4.51667,6.80307,1.89749
4.53333,6.83469,1.85185
4.55,6.86556,1.9071
4.56667,6.89734,1.82473
4.58333,6.92776,1.88545
