Frame 1 | R=(-1,-1) | targets=0
Frame 2 | R=(-1,-1) | targets=0
Frame 3 | R=(-1,-1) | targets=0
Frame 4 | R=(-1,-1) | targets=0
Frame 5 | R=(-1,-1) | targets=0
Frame 6 | R=(-1,-1) | targets=0
Frame 7 | R=(-1,-1) | targets=0
Frame 8 | R=(-1,-1) | targets=0
Frame 9 | R=(-1,-1) | targets=0
Frame 10 | R=(-1,-1) | targets=0
Frame 11 | R=(-1,-1) | targets=0
Frame 12 | R=(-1,-1) | targets=0
Frame 13 | R=(-1,-1) | targets=0
Frame 14 | R=(-1,-1) | targets=0
Frame 15 | R=(-1,-1) | targets=0
Frame 16 | R=(-1,-1) | targets=0
Frame 17 | R=(-1,-1) | targets=0
Frame 18 | R=(-1,-1) | targets=0
Frame 19 | R=(-1,-1) | targets=0
Frame 20 | R=(-1,-1) | targets=0
Frame 21 | R=(-1,-1) | targets=0
Frame 22 | R=(-1,-1) | targets=0
Frame 23 | R=(-1,-1) | targets=0
Frame 24 | R=(-1,-1) | targets=0
Frame 25 | R=(-1,-1) | targets=0
Frame 26 | R=(-1,-1) | targets=0
Frame 27 | R=(886.68,443.14) | targets=0
Frame 28 | R=(890.317,483.617) | targets=0
Frame 29 | R=(890.317,483.617) | targets=0
Frame 30 | R=(887.651,515.386) | targets=0
Frame 31 | R=(892.578,502.654) | targets=0
Frame 32 | R=(892.578,502.654) | targets=0
Frame 33 | R=(892.578,502.654) | targets=0
Frame 34 | R=(891.873,566.752) | targets=0
Frame 35 | R=(891.873,566.752) | targets=0
Frame 36 | R=(835.9,584.048) | targets=0
Frame 37 | R=(835.9,584.048) | targets=0
Frame 38 | R=(898.217,578.395) | targets=0
Frame 39 | R=(902.641,585.898) | targets=0
Frame 40 | R=(899.688,609.488) | targets=0
Frame 41 | R=(899.688,609.488) | targets=0
Frame 42 | R=(899.688,609.488) | targets=0
Frame 43 | R=(899.688,609.488) | targets=0
Frame 44 | R=(899.688,609.488) | targets=0
Frame 45 | R=(906.209,592.615) | targets=0
Frame 46 | R=(903.911,578.293) | targets=0
Frame 47 | R=(908.536,578.671) | targets=0
Frame 48 | R=(849.511,594.445) | targets=0
Frame 49 | R=(914.528,569.751) | targets=0
Frame 50 | R=(853.607,590.124) | targets=0
Frame 51 | R=(855.649,587.036) | targets=0
Frame 52 | R=(855.649,587.036) | targets=0
Frame 53 | R=(855.649,587.036) | targets=0
Frame 54 | R=(855.649,587.036) | targets=0
Frame 55 | R=(864.753,589.562) | targets=0
Frame 56 | R=(864.753,589.562) | targets=0
Frame 57 | R=(864.753,589.562) | targets=0
Frame 58 | R=(871.21,568.874) | targets=0
Frame 59 | R=(871.21,568.874) | targets=0
Frame 60 | R=(871.21,568.874) | targets=0
Frame 61 | R=(869.33,585.884) | targets=0
Frame 62 | R=(869.33,585.884) | targets=0
Frame 63 | R=(875.25,561.024) | targets=0
Frame 64 | R=(875.348,561.248) | targets=0
Frame 65 | R=(875.344,558.281) | targets=0
Frame 66 | R=(875.25,556.47) | targets=0
Frame 67 | R=(875.25,556.47) | targets=0
Frame 68 | R=(875.25,556.47) | targets=0
Frame 69 | R=(875.25,556.47) | targets=0
Frame 70 | R=(879.238,556.448) | targets=0
Frame 71 | R=(877.804,576.193) | targets=0
Frame 72 | R=(877.804,576.193) | targets=0
Frame 73 | R=(877.804,576.193) | targets=0
Frame 74 | R=(877.804,576.193) | targets=0
Frame 75 | R=(884.415,579.059) | targets=0
Frame 76 | R=(884.415,579.059) | targets=0
Frame 77 | R=(884.415,579.059) | targets=0
Frame 78 | R=(883.43,580.93) | targets=0
Frame 79 | R=(883.328,580.003) | targets=0
Frame 80 | R=(883.328,580.003) | targets=0
Frame 81 | R=(883.328,580.003) | targets=0
Frame 82 | R=(883.328,580.003) | targets=0
Frame 83 | R=(883.57,582.788) | targets=0
Frame 84 | R=(883.57,582.788) | targets=0
Frame 85 | R=(883.57,582.788) | targets=0
Frame 86 | R=(883.57,582.788) | targets=0
Frame 87 | R=(887.05,563.79) | targets=0
Frame 88 | R=(887.29,563.798) | targets=0
Frame 89 | R=(887.29,563.798) | targets=0
Frame 90 | R=(881.646,588.323) | targets=0
Frame 91 | R=(881.566,584.357) | targets=0
Frame 92 | R=(881.566,584.357) | targets=0
Frame 93 | R=(885.275,585.071) | targets=0
Frame 94 | R=(880.2,590.254) | targets=0
Frame 95 | R=(879.826,589.052) | targets=0
Frame 96 | R=(879.642,588.839) | targets=0
Frame 97 | R=(885.434,567.902) | targets=0
Frame 98 | R=(884.581,576.623) | targets=0
Frame 99 | R=(884.581,576.623) | targets=0
Frame 100 | R=(884.581,576.623) | targets=0
Frame 101 | R=(884.809,582.721) | targets=0
Frame 102 | R=(884.809,582.721) | targets=0
Frame 103 | R=(884.809,582.721) | targets=0
Frame 104 | R=(875.477,619.667) | targets=0
Frame 105 | R=(867.54,627.956) | targets=0
Frame 106 | R=(867.54,627.956) | targets=0
Frame 107 | R=(857.284,653.685) | targets=0
Frame 108 | R=(857.284,653.685) | targets=0
Frame 109 | R=(857.284,653.685) | targets=0
Frame 110 | R=(857.284,653.685) | targets=0
Frame 111 | R=(857.284,653.685) | targets=0
Frame 112 | R=(857.284,653.685) | targets=0
