frame,r_status,r_x,r_y,t_status,t_id,t_x,t_y,theta_deg,n_clusters,n_lit
1,searching,,,searching,,-1.0,-1.0,,4,0
2,searching,,,searching,,-1.0,-1.0,,5,0
3,searching,,,searching,,-1.0,-1.0,,5,0
4,searching,,,searching,,-1.0,-1.0,,5,0
5,searching,,,searching,,-1.0,-1.0,,4,0
6,detected,807.5,743.0,searching,,-1.0,-1.0,,4,3
7,detected,809.2,743.1,searching,,-1.0,-1.0,,5,3
8,estimated,810.0,743.3,searching,,-1.0,-1.0,,5,3
9,detected,812.5,743.1,searching,,-1.0,-1.0,,5,4
10,detected,815.4,743.0,detected,1,702.1,922.0,237.7,5,2
11,detected,818.2,743.3,detected,1,707.6,924.5,238.6,5,3
12,detected,822.5,743.2,detected,1,716.2,927.0,240.0,5,2
13,detected,826.7,742.9,detected,1,723.7,929.1,241.0,5,3
14,detected,830.4,742.4,detected,1,731.2,929.8,242.1,4,2
15,detected,833.6,741.5,detected,1,737.1,931.0,243.0,5,2
16,detected,836.3,740.6,detected,1,742.9,931.5,243.9,5,2
17,detected,839.2,737.2,detected,1,751.0,931.2,245.6,5,2
18,detected,841.7,733.7,detected,1,757.3,931.1,246.8,5,2
19,detected,843.8,730.7,detected,1,763.0,931.1,248.1,5,2
20,detected,847.5,725.4,detected,1,777.3,927.4,250.8,6,2
21,estimated,850.5,725.8,detected,1,788.0,925.2,252.6,5,2
22,detected,853.0,720.6,detected,1,796.5,924.0,254.5,6,2
23,estimated,855.9,720.7,detected,1,810.6,924.0,257.4,4,1
24,detected,858.2,716.6,detected,1,822.5,924.1,260.2,4,1
25,detected,861.0,713.7,detected,1,831.4,924.3,262.0,5,2
26,detected,864.5,708.4,detected,1,842.9,919.5,264.2,5,2
27,detected,867.7,703.0,detected,1,852.5,915.6,265.9,5,1
28,detected,870.3,698.6,detected,1,860.9,912.9,267.5,4,2
29,detected,872.5,695.7,detected,1,871.5,911.2,269.8,5,2
30,detected,874.1,694.2,detected,1,879.2,910.6,271.4,5,2
31,detected,875.4,693.5,detected,1,884.9,910.3,272.5,5,2
32,detected,876.4,693.6,detected,1,893.2,910.3,274.4,4,2
33,detected,877.0,694.0,detected,1,898.5,910.5,275.7,5,2
34,detected,877.5,694.3,detected,1,903.7,910.4,276.9,5,2
35,estimated,881.3,694.5,lost,1,915.3,908.8,,5,1
36,estimated,884.9,694.5,lost,1,926.9,907.3,,5,1
37,estimated,888.4,694.6,lost,1,938.5,905.8,,5,0
38,estimated,891.4,694.6,lost,1,950.1,904.2,,5,0
39,estimated,893.9,694.4,lost,1,961.7,902.7,,5,1
40,estimated,896.0,694.6,lost,1,973.3,901.2,,5,0
41,estimated,897.6,694.8,lost,1,984.9,899.6,,4,0
42,estimated,899.1,695.0,lost,1,996.5,898.1,,5,0
43,estimated,900.3,695.4,lost,1,1008.1,896.6,,3,0
